J',nu1',nu2',nu3',Energy
0,0,1,0,6901.36496188569
0,0,1,1,-49.0794244708933
0,0,1,2,-30.1726048974199
0,0,1,3,4.11381293781819
0,0,1,4,1.46088504663479
0,0,1,5,-0.19679188588274
0,0,1,6,-0.01453005558216171
0,0,1,7,0.004696646766704209
0,0,1,8,-0.0002254866394667371
0,0,1,9,0.000106157620937366
0,0,1,10,-1.090329653296593e-05
0,0,1,11,-1.252497033292921e-06
0,0,1,12,-4.74728515237498e-07
0,0,1,13,1.312268037657098e-09
0,0,1,14,-3.7393301713987844e-08
0,0,1,15,-2.7451289094036713e-08
0,0,1,16,-4.9299175873365054e-08
0,2,0,0,-7.81039245364354
0,2,0,1,-108.287436274519
0,2,0,2,-22.101769066245
0,2,0,3,2.53821696627865
0,2,0,4,1.00246363477824
0,2,0,5,0.5711129447797
0,2,0,6,0.01513896059305581
0,2,0,7,-0.005220780733842553
0,2,0,8,0.001384367719106558
0,2,0,9,-0.0002002603080687197
0,2,0,10,2.477087251489906e-05
0,2,0,11,-5.708205775493349e-07
0,2,0,12,1.398912380133322e-06
0,2,0,13,-1.422947826791693e-07
0,2,0,14,-1.647862235732537e-07
0,2,0,15,-2.236484954971447e-07
0,2,0,16,-3.780232169739122e-07
0,3,0,0,1.73342190565722
0,3,0,1,25.0432528776406
0,3,0,2,19.2207382744104
0,3,0,3,-0.005351010244506481
0,3,0,4,-0.642882598851627
0,3,0,5,-0.09688706138922848
0,3,0,6,0.001822849378859067
0,3,0,7,0.0001476056626377359
0,3,0,8,-0.0003052553294972812
0,3,0,9,2.030893420639969e-05
0,3,0,10,-3.743672490023792e-06
0,3,0,11,5.046897170140267e-07
0,3,0,12,-2.19617067442399e-07
0,3,0,13,2.3008569107012253e-08
0,3,0,14,3.6763660491551796e-08
0,2,1,0,7.87602149109557
0,2,1,1,29.6130431809184
0,2,1,2,-43.3437512724866
0,2,1,3,2.71219607316159
0,2,1,4,1.8815266685742
0,2,1,5,0.130484173421437
0,2,1,6,-0.00795213538017944
0,2,1,7,0.001488198703415884
0,2,1,8,0.0005486630363482239
0,2,1,9,-4.393765122347964e-06
0,2,1,10,3.480403621597081e-06
0,2,1,11,-1.537742815115395e-06
0,2,1,12,3.242360840946257e-07
0,2,1,13,-1.179108655088476e-07
0,2,1,14,-1.928715435959344e-07
0,4,0,0,-0.3766983379154
0,4,0,1,0.60951903520939
0,4,0,2,10.5954868864857
0,4,0,3,-1.21026634752018
0,4,0,4,-0.353041564317889
0,4,0,5,-0.0210003235409389
0,4,0,6,0.0007266070275841445
0,4,0,7,-0.0002989578043636028
0,4,0,8,-9.558518818095616e-05
0,4,0,9,2.096229366883557e-06
0,4,0,10,-5.306252437673267e-07
0,4,0,11,2.638235270253081e-07
0,4,0,12,-5.990714976476051e-08
0,1,3,0,5.00352464704008
0,1,3,1,30.1165944701292
0,1,3,2,-26.6632638300346
0,1,3,3,4.57651184651442
0,1,3,4,1.04888869874614
0,1,3,5,0.03459511939122523
0,1,3,6,-0.002110788910974677
0,1,3,7,0.001252944518413099
0,1,3,8,0.0002196072510490298
0,1,3,9,2.952618888126407e-06
0,1,3,10,1.364900014113825e-07
0,1,3,11,-7.925297042036224e-07
0,1,3,12,1.273159057287724e-07
0,5,0,0,0.769897145448141
0,5,0,1,5.24244130237423
0,5,0,2,-6.13779158943438
0,5,0,3,1.31446769672595
0,5,0,4,0.207771884047568
0,5,0,5,0.004137337627268298
