|J> |nu1> |nu2> |nu3> Energy
           0           0           1           0   6901.36496188569     
           0           0           1           1  -49.0794244708933     
           0           0           1           2  -30.1726048974199     
           0           0           1           3   4.11381293781819     
           0           0           1           4   1.46088504663479     
           0           0           1           5 -0.196791885882740     
           0           0           1           6 -1.453005558216171E-002
           0           0           1           7  4.696646766704209E-003
           0           0           1           8 -2.254866394667371E-004
           0           0           1           9  1.061576209373660E-004
           0           0           1          10 -1.090329653296593E-005
           0           0           1          11 -1.252497033292921E-006
           0           0           1          12 -4.747285152374980E-007
           0           0           1          13  1.312268037657098E-009
           0           0           1          14 -3.739330171398784E-008
           0           0           1          15 -2.745128909403671E-008
           0           0           1          16 -4.929917587336505E-008
           0           2           0           0  -7.81039245364354     
           0           2           0           1  -108.287436274519     
           0           2           0           2  -22.1017690662450     
           0           2           0           3   2.53821696627865     
           0           2           0           4   1.00246363477824     
           0           2           0           5  0.571112944779700     
           0           2           0           6  1.513896059305581E-002
           0           2           0           7 -5.220780733842553E-003
           0           2           0           8  1.384367719106558E-003
           0           2           0           9 -2.002603080687197E-004
           0           2           0          10  2.477087251489906E-005
           0           2           0          11 -5.708205775493349E-007
           0           2           0          12  1.398912380133322E-006
           0           2           0          13 -1.422947826791693E-007
           0           2           0          14 -1.647862235732537E-007
           0           2           0          15 -2.236484954971447E-007
           0           2           0          16 -3.780232169739122E-007
           0           3           0           0   1.73342190565722     
           0           3           0           1   25.0432528776406     
           0           3           0           2   19.2207382744104     
           0           3           0           3 -5.351010244506481E-003
           0           3           0           4 -0.642882598851627     
           0           3           0           5 -9.688706138922848E-002
           0           3           0           6  1.822849378859067E-003
           0           3           0           7  1.476056626377359E-004
           0           3           0           8 -3.052553294972812E-004
           0           3           0           9  2.030893420639969E-005
           0           3           0          10 -3.743672490023792E-006
           0           3           0          11  5.046897170140267E-007
           0           3           0          12 -2.196170674423990E-007
           0           3           0          13  2.300856910701225E-008
           0           3           0          14  3.676366049155179E-008
           0           2           1           0   7.87602149109557     
           0           2           1           1   29.6130431809184     
           0           2           1           2  -43.3437512724866     
           0           2           1           3   2.71219607316159     
           0           2           1           4   1.88152666857420     
           0           2           1           5  0.130484173421437     
           0           2           1           6 -7.952135380179441E-003
           0           2           1           7  1.488198703415884E-003
           0           2           1           8  5.486630363482239E-004
           0           2           1           9 -4.393765122347964E-006
           0           2           1          10  3.480403621597081E-006
           0           2           1          11 -1.537742815115395E-006
           0           2           1          12  3.242360840946257E-007
           0           2           1          13 -1.179108655088476E-007
           0           2           1          14 -1.928715435959344E-007
           0           4           0           0 -0.376698337915400     
           0           4           0           1  0.609519035209390     
           0           4           0           2   10.5954868864857     
           0           4           0           3  -1.21026634752018     
           0           4           0           4 -0.353041564317889     
           0           4           0           5 -2.100032354093890E-002
           0           4           0           6  7.266070275841445E-004
           0           4           0           7 -2.989578043636028E-004
           0           4           0           8 -9.558518818095617E-005
           0           4           0           9  2.096229366883557E-006
           0           4           0          10 -5.306252437673267E-007
           0           4           0          11  2.638235270253081E-007
           0           4           0          12 -5.990714976476050E-008
           0           1           3           0   5.00352464704008     
           0           1           3           1   30.1165944701292     
           0           1           3           2  -26.6632638300346     
           0           1           3           3   4.57651184651442     
           0           1           3           4   1.04888869874614     
           0           1           3           5  3.459511939122523E-002
           0           1           3           6 -2.110788910974677E-003
           0           1           3           7  1.252944518413099E-003
           0           1           3           8  2.196072510490298E-004
           0           1           3           9  2.952618888126407E-006
